"year"	"streamflow"	"station"	"nino"	"ivar"
1984	0.743287672975173	9	-0.55331504097979	1
1985	0.289551765364265	9	-0.333427743781654	1
1986	0.197020757020757	9	1.00651049445601	1
1987	0.458462676862255	9	1.55966448854885	1
1988	0.713905817562068	9	-1.49814328932671	1
1989	0.498918274176955	9	-0.192562438377342	1
1990	0.239268302299552	9	0.388077461423245	1
1991	0.0413545863858364	9	1.05461084490541	1
1992	0.187625	9	-0.0207754813213876	1
1993	0.230849053724054	9	0.343412856917729	1
1994	0.0448549552299552	9	1.00651049445601	1
1995	0.163653922466423	9	-0.766330866904595	1
1996	0.204246260683761	9	-0.247534260100069	1
1997	0.378362828144078	9	2.57664325741625	1
1998	0.612535230972731	9	-1.2370271129525	1
1999	1.27754361263736	9	-1.14082642236092	1
2000	0.426146720679012	9	-0.484600256095965	1
2001	0.190464699074074	9	-0.0448256616996964	1
2002	0.0376873346560846	9	1.50812840246278	1
2003	0.141463344525845	9	0.556428682842531	1
2004	0.472812741656492	9	0.954974408369953	1
2005	0.138634027777778	9	-0.0379541801191474	1
2006	0.316298636548637	9	0.985896060021589	1
2007	0.252179932336182	9	-1.18549102686644	1
2008	0.533230298636549	9	-0.158205051089037	1
2009	0.141699557387057	9	1.24014075481524	1
2010	1.49527941849817	9	-1.49127180774616	1
2011	0.377402141839642	9	-0.838481387425085	1
2012	0.170622964997965	9	0.477406680741495	1
2013	0.202223494098494	9	0.0238891231841284	1
2014	0.0872623499185999	9	0.714472676737391	1
1970	0.264154202279202	10	-0.938117813653332	1
1971	0.0236942027879528	10	-0.962167994031641	1
1972	1.54100986975987	10	1.81047343739862	1
1973	0.317270680708181	10	-1.86576736320249	1
1974	0.374257758445258	10	-0.71479478081853	1
1975	0.502835520960521	10	-1.56685806390332	1
1976	0.14283491045991	10	0.803801896055641	1
1977	0.0952914758852259	10	0.724779893954602	1
1978	0.11854490995116	10	-0.329991997837774	1
1979	0.117477411477411	10	0.432742076235979	1
1980	0.0260102004477004	10	-0.0173397456847221	1
1981	0.100483122201872	10	-0.106668965002972	1
1982	0.373319686100936	10	2.05784665061172	1
1983	0.602981176231176	10	-0.81786695299066	1
1984	0.791339629120879	10	-0.55331504097979	1
1985	0.166294719169719	10	-0.333427743781654	1
1986	0.0050291514041514	10	1.00651049445601	1
1987	0.263694304538055	10	1.55966448854885	1
1989	0.166906542531542	10	-0.192562438377342	1
1990	0.0449306064306064	10	0.388077461423245	1
1991	0.0263591015466015	10	1.05461084490541	1
1992	0.0541911884411884	10	-0.0207754813213876	1
1993	0.170933112026862	10	0.343412856917729	1
1994	0.0379963497150997	10	1.00651049445601	1
1995	0.0596292438271605	10	-0.766330866904595	1
1996	0.0763486848799349	10	-0.247534260100069	1
1997	0.251142195767196	10	2.57664325741625	1
1998	0.471594106125356	10	-1.2370271129525	1
1999	0.83489155982906	10	-1.14082642236092	1
2000	0.678889842796092	10	-0.484600256095965	1
2001	0.0527161779835391	10	-0.0448256616996964	1
2002	0.0101644536019536	10	1.50812840246278	1
2003	0.0770027619949495	10	0.556428682842531	1
2004	0.492304513888888	10	0.954974408369953	1
2005	0.18103097018722	10	-0.0379541801191474	1
2006	0.185393912800163	10	0.985896060021589	1
2007	0.265574531949532	10	-1.18549102686644	1
2008	0.730027269027269	10	-0.158205051089037	1
2009	0.122533971815222	10	1.24014075481524	1
2010	1.23025099206349	10	-1.49127180774616	1
2011	0.162113858363858	10	-0.838481387425085	1
2012	0.0659522028897029	10	0.477406680741495	1
2013	0.1621896494709	10	0.0238891231841284	1
2014	0.0417095670533171	10	0.714472676737391	1
1970	0.469668004115226	11	-0.938117813653332	1
1971	0.0382310617623118	11	-0.962167994031641	1
1972	2.60751236263736	11	1.81047343739862	1
1973	0.388268276862027	11	-1.86576736320249	1
1974	0.283460660866911	11	-0.71479478081853	1
1975	0.602536235754986	11	-1.56685806390332	1
1976	0.190010136853887	11	0.803801896055641	1
1977	0.122860335266585	11	0.724779893954602	1
1978	0.145639817358567	11	-0.329991997837774	1
1979	0.132488807488807	11	0.432742076235979	1
1980	0.0116834555763629	11	-0.0173397456847221	1
1981	0.245671487077737	11	-0.106668965002972	1
1982	0.49578587962963	11	2.05784665061172	1
1983	1.178665254884	11	-0.81786695299066	1
1985	0.225786591880342	11	-0.333427743781654	1
1986	0.0181446109030379	11	1.00651049445601	1
1987	0.338586818274318	11	1.55966448854885	1
1988	0.52375682997558	11	-1.49814328932671	1
1989	0.271279571123321	11	-0.192562438377342	1
1990	0.079534506003256	11	0.388077461423245	1
1991	0.0231350732600733	11	1.05461084490541	1
1992	0.04834913003663	11	-0.0207754813213876	1
1993	0.273515160765161	11	0.343412856917729	1
1994	0.0230691391941392	11	1.00651049445601	1
1995	0.108781440781441	11	-0.766330866904595	1
1996	0.0882986111111111	11	-0.247534260100069	1
1997	0.468177464896215	11	2.57664325741625	1
1998	0.767879057285307	11	-1.2370271129525	1
1999	1.1436096484534	11	-1.14082642236092	1
2000	0.949290191290192	11	-0.484600256095965	1
2001	0.0481376028806584	11	-0.0448256616996964	1
2002	0.00950903032153032	11	1.50812840246278	1
2003	0.0878636803011803	11	0.556428682842531	1
2004	1.05281009516461	11	0.954974408369953	1
2005	0.24995496399177	11	-0.0379541801191474	1
2006	0.213276849308099	11	0.985896060021589	1
2007	0.278733307613169	11	-1.18549102686644	1
2008	0.954030982905983	11	-0.158205051089037	1
2009	0.182133216320716	11	1.24014075481524	1
2010	1.657782000407	11	-1.49127180774616	1
2011	0.169795164326414	11	-0.838481387425085	1
2012	0.0557083206145706	11	0.477406680741495	1
2013	0.091996565934066	11	0.0238891231841284	1
2014	0.168267615486365	11	0.714472676737391	1
1971	0.409487891737892	12	-0.962167994031641	1
1972	2.74072854344729	12	1.81047343739862	1
1973	0.505202787952788	12	-1.86576736320249	1
1975	1.88521055911681	12	-1.56685806390332	1
1976	0.520851025132275	12	0.803801896055641	1
1977	0.359382504070004	12	0.724779893954602	1
1978	0.389875038156288	12	-0.329991997837774	1
1979	0.490378497659748	12	0.432742076235979	1
1980	0.0413335113960114	12	-0.0173397456847221	1
1981	0.429592249185999	12	-0.106668965002972	1
1982	0.528592427248677	12	2.05784665061172	1
1983	1.67136167073667	12	-0.81786695299066	1
1984	0.668474002849002	12	-0.55331504097979	1
1985	0.545773402523403	12	-0.333427743781654	1
1986	0.201812741656492	12	1.00651049445601	1
1987	0.222222794566545	12	1.55966448854885	1
1988	0.266732575295075	12	-1.49814328932671	1
1989	0.708584490740741	12	-0.192562438377342	1
1990	0.597168103886854	12	0.388077461423245	1
1991	0.0898658552096052	12	1.05461084490541	1
1992	0.225985284391534	12	-0.0207754813213876	1
1993	0.12120971967847	12	0.343412856917729	1
1994	0.00622820004070004	12	1.00651049445601	1
1995	0.420806751119251	12	-0.766330866904595	1
1996	0.294588013838014	12	-0.247534260100069	1
1997	0.769974295380545	12	2.57664325741625	1
1998	0.910106430606431	12	-1.2370271129525	1
1999	0.544156288156288	12	-1.14082642236092	1
2000	1.28647732244607	12	-0.484600256095965	1
2001	0.892783819190069	12	-0.0448256616996964	1
2002	0.0445811965811966	12	1.50812840246278	1
2003	0.241284620472121	12	0.556428682842531	1
2004	0.264730311355311	12	0.954974408369953	1
2005	0.195721141127391	12	-0.0379541801191474	1
2006	0.512706298331298	12	0.985896060021589	1
2007	0.56895129985755	12	-1.18549102686644	1
